Title,Rating,Votes,Duration,Genre
Miss You,6.2,3100,128.0,Romance
Dilan 1983,6.7,203,116.0,Romance
Reloaded 2,8.0,1000,45.0,Romance
In Good Hands 2,5.3,918,99.0,Romance
El Hawa Sultan,6.6,624,136.0,Romance
Meeting Ms. Leigh,9.2,76,117.0,Romance
Love Syndrome: The Beginning,6.0,49,90.0,Romance
À toute allure,5.3,157,86.0,Romance
Love Li,6.5,13000,168.0,Romance
Detective Conan: The Million-Dollar Pentagram,6.8,1400,111.0,Romance
Anyone But Her,4.9,275,93.0,Romance
Black Tea,5.2,530,110.0,Romance
Seni Memahami Kekasih,8.0,59,91.0,Romance
Stranded Pearl,6.0,27,90.0,Romance
Queens of Drama,6.4,170,114.0,Romance
The Great Gujarati Matrimony,7.9,78,144.0,Romance
Love You to Debt,6.2,747,135.0,Romance
Looking for Dr. Love,6.0,122,85.0,Romance
Fruitcake,5.4,118,97.0,Romance
3391 Kilometres,4.2,1100,110.0,Romance
A Merry Royal Christmas,5.2,141,88.0,Romance
Premalo,7.3,1100,128.0,Romance
You Are Not Alone,6.2,61,105.0,Romance
Dhruvathaare,8.3,646,165.0,Romance
Paper Flowers,9.1,29,100.0,Romance
What Happened in My Black Boyfriend's Room,4.8,8,62.0,Romance
One Night in Tokyo,8.1,37,95.0,Romance
Love Story,4.9,387,125.0,Romance
"LSD 2: Love, Sex Aur Dhokha 2",3.8,2800,119.0,Romance
Three Secrets,4.4,47,92.0,Romance
Nado snimat filmy o lyubvi,7.8,29,73.0,Romance
Under Parallel Skies,5.6,779,110.0,Romance
Christmas at Plumhill Manor,6.1,496,87.0,Romance
That Kind of Love,5.8,299,136.0,Romance
Prabuthwa Junior Kalashala,7.2,2100,131.0,Romance
Sweet Summer Love,6.5,59,90.0,Romance
Heartsping : Teenieping of Love,6.9,21,0.0,Romance
"María, Me Muero",5.3,69,93.0,Romance
Vaagai,8.8,185,119.0,Romance
Rose Rosy Te Gulab,5.8,295,135.0,Romance
Addy Daddy,7.8,25,118.0,Romance
DreadClub: Vampire's Verdict,5.2,55,0.0,Romance
Explosions in My Heart,6.7,33,105.0,Romance
Kisko Tha Pata,7.4,14,135.0,Romance
Rokjesnacht,4.9,216,95.0,Romance
Honeymoonish,5.3,1500,100.0,Romance
Life is Filled with So Much of You,8.1,14,99.0,Romance
Morando com o Crush,5.4,166,90.0,Romance
Hrashwo Deergha,7.9,79,150.0,Romance
My Ex's Wedding,8.5,43,95.0,Romance
Kahan Shuru Kahan Khatam,6.2,3100,107.0,Romance
My Boyfriend Is a Sex Worker,4.8,13,50.0,Romance
A Fragile Flower,8.5,1600,96.0,Romance
The Property,7.6,51,110.0,Romance
Across the Sea,6.4,64,112.0,Romance
Neelofar,8.7,14,0.0,Romance
L'heureuse élue,5.3,198,91.0,Romance
Perdiendo el Juicio,7.2,17,0.0,Romance
Kang Mak,6.4,760,122.0,Romance
Sihinayaki Adare,6.5,183,150.0,Romance
Maple Leaf Dreams,4.6,76,101.0,Romance
"Aku Jati, Aku Asperger",8.6,16,88.0,Romance
Yolki 11,4.7,163,92.0,Romance
Yuva,5.8,834,153.0,Romance
More na dvoikh,5.6,19,82.0,Romance
Movie Given Hiiragi Mix.,7.4,135,70.0,Romance
Lyubvi ne byvaet?,5.4,152,105.0,Romance
Joy of Horses,5.8,160,90.0,Romance
Mor Chhainha Bhuinya 2,8.3,60,160.0,Romance
Mi Perfecto Ex,7.4,18,83.0,Romance
Occupied,0.0,0,77.0,Romance
Ma chi ti conosce,5.9,128,105.0,Romance
Varshangalkku Shesham,6.6,4100,166.0,Romance
Moments We Shared,5.5,119,131.0,Romance
Game On,5.3,2300,140.0,Romance
Saint Nick of Bethlehem,9.3,96,93.0,Romance
I Am the Secret in Your Heart,6.0,178,112.0,Romance
"Extraction, USA",7.5,51,0.0,Romance
Badaa Saat Fi Yawman Ma,6.3,87,100.0,Romance
Emakku Thozhil Romance,4.9,117,111.0,Romance
The Holiday Club,6.6,345,88.0,Romance
Poppay Ki Wedding,8.8,75,127.0,Romance
Amaltash,8.1,144,113.0,Romance
"It's So Big It Hurts, Black Oppa",5.0,8,61.0,Romance
