Title,Rating,Votes,Duration,Genre
In Vitro,6.4,113,89.0,Science fiction
Jon Vardar protiv Galaksijata,8.9,60,86.0,Science fiction
Big City Greens the Movie: Spacecation,6.2,530,0.0,Science fiction
Neon Fear,6.1,387,40.0,Science fiction
Raduaa Returns,5.4,66,137.0,Science fiction
Addy Daddy,7.8,25,118.0,Science fiction
THEDÆMON,6.9,37,87.0,Science fiction
Earthquake Underground,3.3,189,83.0,Science fiction
Staycation,7.1,102,94.0,Science fiction
Lunacy,5.0,60,77.0,Science fiction
Re:Human,5.8,40,108.0,Science fiction
Dead Dead Demon's Dededede Destruction,7.0,136,120.0,Science fiction
Taklee Genesis x Worlds Collide,5.5,382,146.0,Science fiction
Don't F**k with Ghosts,7.4,197,0.0,Science fiction
Andromeda: 1883,3.5,15,0.0,Science fiction
Buying Time,7.0,259,84.0,Science fiction
Jurassic Triangle,2.5,277,84.0,Science fiction
Touchdown,6.8,13,78.0,Science fiction
The Strange Dark,9.1,36,84.0,Science fiction
Captain Avispa,5.8,172,96.0,Science fiction
Night of the Skinwalkers,2.5,707,94.0,Science fiction
Agapouse ta louloudia perissotero,5.3,177,86.0,Science fiction
Aftermath,5.4,4400,78.0,Science fiction
False Front,0.0,0,120.0,Science fiction
Alien Country,4.4,349,96.0,Science fiction
Oculus,6.0,15,113.0,Science fiction
Taisu Xilie,0.0,0,100.0,Science fiction
Dragon Ball Z Kai,8.4,65,82.0,Science fiction
C'est le monde à l'envers !,5.3,86,114.0,Science fiction
Creep Encounters,6.2,61,90.0,Science fiction
Killer Witches from Outer Space,7.1,77,0.0,Science fiction
The A-Frame,7.2,36,82.0,Science fiction
Guy Manley: Super Spy,4.5,115,92.0,Science fiction
Infinite Summer,5.4,83,86.0,Science fiction
Project Dorothy,4.0,3200,80.0,Science fiction
Rahasyam Idham Jagath,7.5,49,153.0,Science fiction
Permafrost,5.7,112,80.0,Science fiction
Dark Fusion,8.5,233,90.0,Science fiction
Mutant,4.5,58,90.0,Science fiction
Anunnakiler,2.6,428,76.0,Science fiction
The Dugout,5.5,747,114.0,Science fiction
Future Date,6.6,120,82.0,Science fiction
Sign Here,6.2,242,100.0,Science fiction
Abaddon's Pit,6.0,38,93.0,Science fiction
Vampire Zombies... From Space!,7.6,59,98.0,Science fiction
Through the Door,6.7,6,0.0,Science fiction
Venus Effect,6.0,18,0.0,Science fiction
Quadrant,4.3,138,73.0,Science fiction
